validation_id,sample_id,faithfulness_score,groundedness_score,relevance_score,citation_accuracy_score,answer_completeness_score,contradiction_score,hallucination_risk_score,validator_decision,validator_feedback,revision_count
VAL-00001,SMP-00001,0.343,0.667,0.865,0.289,0.861,0.575,0.74,reject,Validator detected contradiction; answer needs evidence-grounded revision.,2
VAL-00002,SMP-00002,0.985,0.871,0.766,0.779,0.685,0.015,0.054,accept,Answer is supported by retrieved context.,0
VAL-00003,SMP-00003,0.694,0.304,0.75,0.256,0.647,0.401,0.824,revise,Validator detected contradiction; answer needs evidence-grounded revision.,2
VAL-00004,SMP-00004,0.598,0.435,0.87,0.476,0.849,0.192,0.926,revise,Validator detected outdated information; answer needs evidence-grounded revision.,1
VAL-00005,SMP-00005,0.544,0.277,0.82,0.616,0.794,0.185,0.677,reject,Validator detected unsupported claim; answer needs evidence-grounded revision.,2
VAL-00006,SMP-00006,0.643,0.25,0.953,0.605,0.969,0.038,0.566,revise,Validator detected outdated information; answer needs evidence-grounded revision.,2
VAL-00007,SMP-00007,0.762,0.941,0.828,0.952,0.744,0.227,0.25,accept,Answer is supported by retrieved context.,1
VAL-00008,SMP-00008,0.8,0.773,0.965,0.851,0.919,0.105,0.35,accept,Answer is supported by retrieved context.,1
VAL-00009,SMP-00009,0.791,0.853,0.822,0.888,0.887,0.067,0.273,revise,Answer is supported by retrieved context.,1
VAL-00010,SMP-00010,0.8,0.905,0.769,0.707,0.737,0.074,0.025,accept,Answer is supported by retrieved context.,0
VAL-00011,SMP-00011,0.446,0.314,0.728,0.319,0.774,0.256,0.741,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,2
VAL-00012,SMP-00012,0.357,0.581,0.742,0.611,0.857,0.036,0.7,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,3
VAL-00013,SMP-00013,0.847,0.916,0.721,0.84,0.93,0.026,0.303,accept,Answer is supported by retrieved context.,0
VAL-00014,SMP-00014,0.935,0.904,0.919,0.75,0.894,0.176,0.283,accept,Answer is supported by retrieved context.,0
VAL-00015,SMP-00015,0.402,0.659,0.715,0.344,0.847,0.574,0.87,revise,Validator detected contradiction; answer needs evidence-grounded revision.,2
VAL-00016,SMP-00016,0.301,0.616,0.827,0.536,0.768,0.26,0.884,revise,Validator detected factual error; answer needs evidence-grounded revision.,1
VAL-00017,SMP-00017,0.814,0.989,0.943,0.805,0.854,0.303,0.03,revise,Answer is supported by retrieved context.,0
VAL-00018,SMP-00018,0.885,0.937,0.713,0.842,0.759,0.148,0.027,accept,Answer is supported by retrieved context.,0
VAL-00019,SMP-00019,0.931,0.964,0.844,0.808,0.953,0.202,0.351,accept,Answer is supported by retrieved context.,0
VAL-00020,SMP-00020,0.916,0.977,0.854,0.804,0.763,0.25,0.279,accept,Answer is supported by retrieved context.,0
VAL-00021,SMP-00021,0.986,0.772,0.908,0.948,0.792,0.162,0.042,accept,Answer is supported by retrieved context.,1
VAL-00022,SMP-00022,0.502,0.613,0.867,0.164,0.854,0.799,0.578,revise,Validator detected contradiction; answer needs evidence-grounded revision.,2
VAL-00023,SMP-00023,0.3,0.698,0.726,0.383,0.762,0.179,0.912,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,1
VAL-00024,SMP-00024,0.527,0.281,0.798,0.645,0.918,0.677,0.856,revise,Validator detected contradiction; answer needs evidence-grounded revision.,3
VAL-00025,SMP-00025,0.87,0.834,0.858,0.968,0.863,0.331,0.176,accept,Answer is supported by retrieved context.,0
VAL-00026,SMP-00026,0.814,0.765,0.74,0.792,0.967,0.372,0.181,accept,Answer is supported by retrieved context.,0
VAL-00027,SMP-00027,0.544,0.559,0.896,0.157,0.69,0.236,0.695,revise,Validator detected outdated information; answer needs evidence-grounded revision.,3
VAL-00028,SMP-00028,0.944,0.946,0.928,0.913,0.809,0.205,0.251,accept,Answer is supported by retrieved context.,0
VAL-00029,SMP-00029,0.702,0.387,0.809,0.596,0.649,0.367,0.739,reject,Validator detected overgeneralization; answer needs evidence-grounded revision.,3
VAL-00030,SMP-00030,0.606,0.609,0.851,0.268,0.769,0.543,0.911,reject,Validator detected contradiction; answer needs evidence-grounded revision.,3
VAL-00031,SMP-00031,0.324,0.654,0.755,0.302,0.887,0.286,0.924,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,2
VAL-00032,SMP-00032,0.926,0.862,0.717,0.957,0.632,0.323,0.204,accept,Answer is supported by retrieved context.,0
VAL-00033,SMP-00033,0.812,0.911,0.92,0.937,0.654,0.15,0.242,accept,Answer is supported by retrieved context.,1
VAL-00034,SMP-00034,0.927,0.865,0.943,0.973,0.743,0.295,0.038,accept,Answer is supported by retrieved context.,1
VAL-00035,SMP-00035,0.849,0.761,0.866,0.952,0.681,0.151,0.328,revise,Answer is supported by retrieved context.,0
VAL-00036,SMP-00036,0.85,0.768,0.898,0.858,0.818,0.363,0.221,accept,Answer is supported by retrieved context.,1
VAL-00037,SMP-00037,0.888,0.912,0.897,0.762,0.869,0.066,0.147,accept,Answer is supported by retrieved context.,0
VAL-00038,SMP-00038,0.901,0.789,0.76,0.866,0.891,0.309,0.152,accept,Answer is supported by retrieved context.,0
VAL-00039,SMP-00039,0.954,0.895,0.757,0.942,0.758,0.218,0.344,accept,Answer is supported by retrieved context.,1
VAL-00040,SMP-00040,0.514,0.375,0.74,0.505,0.694,0.087,0.813,revise,Validator detected factual error; answer needs evidence-grounded revision.,1
VAL-00041,SMP-00041,0.618,0.399,0.794,0.634,0.722,0.213,0.89,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,1
VAL-00042,SMP-00042,0.857,0.773,0.73,0.72,0.733,0.336,0.15,accept,Answer is supported by retrieved context.,0
VAL-00043,SMP-00043,0.341,0.519,0.805,0.186,0.734,0.153,0.915,revise,Validator detected factual error; answer needs evidence-grounded revision.,3
VAL-00044,SMP-00044,0.911,0.784,0.844,0.704,0.745,0.201,0.067,accept,Answer is supported by retrieved context.,0
VAL-00045,SMP-00045,0.817,0.969,0.735,0.79,0.862,0.029,0.301,accept,Answer is supported by retrieved context.,0
VAL-00046,SMP-00046,0.781,0.97,0.808,0.951,0.971,0.041,0.197,accept,Answer is supported by retrieved context.,0
VAL-00047,SMP-00047,0.924,0.982,0.938,0.811,0.683,0.362,0.037,accept,Answer is supported by retrieved context.,1
VAL-00048,SMP-00048,0.963,0.749,0.819,0.873,0.818,0.033,0.104,accept,Answer is supported by retrieved context.,0
VAL-00049,SMP-00049,0.307,0.318,0.872,0.309,0.873,0.14,0.855,revise,Validator detected outdated information; answer needs evidence-grounded revision.,3
VAL-00050,SMP-00050,0.974,0.937,0.789,0.763,0.868,0.057,0.22,accept,Answer is supported by retrieved context.,0
VAL-00051,SMP-00051,0.333,0.426,0.776,0.55,0.658,0.578,0.573,revise,Validator detected contradiction; answer needs evidence-grounded revision.,2
VAL-00052,SMP-00052,0.868,0.964,0.808,0.774,0.757,0.079,0.238,accept,Answer is supported by retrieved context.,0
VAL-00053,SMP-00053,0.584,0.604,0.948,0.194,0.807,0.877,0.783,revise,Validator detected contradiction; answer needs evidence-grounded revision.,1
VAL-00054,SMP-00054,0.442,0.613,0.755,0.285,0.696,0.315,0.727,revise,Validator detected factual error; answer needs evidence-grounded revision.,3
VAL-00055,SMP-00055,0.939,0.794,0.889,0.762,0.805,0.33,0.097,accept,Answer is supported by retrieved context.,0
VAL-00056,SMP-00056,0.945,0.941,0.909,0.868,0.856,0.379,0.245,accept,Answer is supported by retrieved context.,0
VAL-00057,SMP-00057,0.47,0.634,0.948,0.341,0.669,0.084,0.679,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,2
VAL-00058,SMP-00058,0.865,0.87,0.739,0.847,0.979,0.191,0.167,accept,Answer is supported by retrieved context.,0
VAL-00059,SMP-00059,0.94,0.864,0.982,0.871,0.749,0.162,0.285,accept,Answer is supported by retrieved context.,0
VAL-00060,SMP-00060,0.406,0.371,0.942,0.207,0.868,0.187,0.72,revise,Validator detected outdated information; answer needs evidence-grounded revision.,2
VAL-00061,SMP-00061,0.773,0.901,0.952,0.744,0.647,0.192,0.309,accept,Answer is supported by retrieved context.,0
VAL-00062,SMP-00062,0.6,0.311,0.785,0.321,0.808,0.27,0.892,reject,Validator detected overgeneralization; answer needs evidence-grounded revision.,1
VAL-00063,SMP-00063,0.898,0.961,0.966,0.841,0.894,0.111,0.151,revise,Answer is supported by retrieved context.,0
VAL-00064,SMP-00064,0.236,0.607,0.951,0.201,0.887,0.218,0.907,reject,Validator detected outdated information; answer needs evidence-grounded revision.,1
VAL-00065,SMP-00065,0.371,0.595,0.852,0.425,0.965,0.203,0.589,reject,Validator detected overgeneralization; answer needs evidence-grounded revision.,3
VAL-00066,SMP-00066,0.884,0.742,0.951,0.718,0.773,0.048,0.248,accept,Answer is supported by retrieved context.,1
VAL-00067,SMP-00067,0.85,0.939,0.896,0.853,0.949,0.304,0.346,accept,Answer is supported by retrieved context.,0
VAL-00068,SMP-00068,0.776,0.788,0.901,0.836,0.675,0.22,0.132,accept,Answer is supported by retrieved context.,0
VAL-00069,SMP-00069,0.287,0.451,0.769,0.195,0.967,0.911,0.706,revise,Validator detected contradiction; answer needs evidence-grounded revision.,3
VAL-00070,SMP-00070,0.841,0.957,0.846,0.836,0.67,0.071,0.184,accept,Answer is supported by retrieved context.,0
VAL-00071,SMP-00071,0.799,0.948,0.753,0.868,0.857,0.108,0.29,accept,Answer is supported by retrieved context.,0
VAL-00072,SMP-00072,0.969,0.761,0.702,0.868,0.888,0.013,0.205,accept,Answer is supported by retrieved context.,0
VAL-00073,SMP-00073,0.982,0.741,0.826,0.726,0.643,0.092,0.069,revise,Answer is supported by retrieved context.,0
VAL-00074,SMP-00074,0.84,0.981,0.97,0.777,0.827,0.107,0.226,accept,Answer is supported by retrieved context.,1
VAL-00075,SMP-00075,0.81,0.883,0.755,0.751,0.885,0.097,0.274,revise,Answer is supported by retrieved context.,0
VAL-00076,SMP-00076,0.808,0.885,0.859,0.791,0.705,0.184,0.228,accept,Answer is supported by retrieved context.,0
VAL-00077,SMP-00077,0.837,0.83,0.706,0.857,0.664,0.331,0.337,accept,Answer is supported by retrieved context.,0
VAL-00078,SMP-00078,0.419,0.248,0.924,0.618,0.809,0.379,0.749,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,1
VAL-00079,SMP-00079,0.918,0.863,0.931,0.912,0.835,0.305,0.122,accept,Answer is supported by retrieved context.,0
VAL-00080,SMP-00080,0.857,0.936,0.709,0.84,0.649,0.288,0.146,accept,Answer is supported by retrieved context.,0
VAL-00081,SMP-00081,0.342,0.684,0.745,0.441,0.897,0.529,0.836,revise,Validator detected contradiction; answer needs evidence-grounded revision.,2
VAL-00082,SMP-00082,0.815,0.92,0.852,0.884,0.799,0.214,0.203,accept,Answer is supported by retrieved context.,0
VAL-00083,SMP-00083,0.778,0.794,0.812,0.845,0.69,0.253,0.054,accept,Answer is supported by retrieved context.,0
VAL-00084,SMP-00084,0.829,0.815,0.938,0.762,0.868,0.112,0.311,accept,Answer is supported by retrieved context.,0
VAL-00085,SMP-00085,0.876,0.795,0.829,0.714,0.834,0.197,0.269,accept,Answer is supported by retrieved context.,0
VAL-00086,SMP-00086,0.814,0.911,0.914,0.744,0.707,0.24,0.268,accept,Answer is supported by retrieved context.,0
VAL-00087,SMP-00087,0.897,0.762,0.907,0.756,0.634,0.351,0.349,accept,Answer is supported by retrieved context.,0
VAL-00088,SMP-00088,0.831,0.916,0.983,0.847,0.672,0.355,0.066,revise,Answer is supported by retrieved context.,0
VAL-00089,SMP-00089,0.979,0.796,0.751,0.888,0.964,0.173,0.089,accept,Answer is supported by retrieved context.,1
VAL-00090,SMP-00090,0.875,0.785,0.814,0.864,0.736,0.019,0.324,accept,Answer is supported by retrieved context.,1
VAL-00091,SMP-00091,0.26,0.5,0.862,0.272,0.917,0.028,0.779,revise,Validator detected fabricated citation; answer needs evidence-grounded revision.,1
VAL-00092,SMP-00092,0.582,0.502,0.946,0.544,0.713,0.699,0.843,revise,Validator detected contradiction; answer needs evidence-grounded revision.,3
VAL-00093,SMP-00093,0.838,0.908,0.84,0.957,0.846,0.34,0.291,accept,Answer is supported by retrieved context.,0
VAL-00094,SMP-00094,0.944,0.966,0.953,0.743,0.732,0.131,0.136,accept,Answer is supported by retrieved context.,0
VAL-00095,SMP-00095,0.922,0.811,0.798,0.769,0.78,0.058,0.044,accept,Answer is supported by retrieved context.,1
VAL-00096,SMP-00096,0.955,0.811,0.818,0.798,0.877,0.05,0.215,accept,Answer is supported by retrieved context.,0
VAL-00097,SMP-00097,0.792,0.885,0.892,0.911,0.783,0.118,0.295,accept,Answer is supported by retrieved context.,1
VAL-00098,SMP-00098,0.544,0.272,0.739,0.592,0.669,0.308,0.823,reject,Validator detected factual error; answer needs evidence-grounded revision.,2
VAL-00099,SMP-00099,0.868,0.868,0.979,0.831,0.907,0.117,0.269,accept,Answer is supported by retrieved context.,0
VAL-00100,SMP-00100,0.605,0.319,0.913,0.37,0.744,0.248,0.815,revise,Validator detected fabricated citation; answer needs evidence-grounded revision.,1
VAL-00101,SMP-00101,0.272,0.423,0.707,0.26,0.653,0.357,0.673,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,3
VAL-00102,SMP-00102,0.784,0.758,0.96,0.86,0.674,0.247,0.105,accept,Answer is supported by retrieved context.,0
VAL-00103,SMP-00103,0.262,0.516,0.909,0.518,0.833,0.191,0.616,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,1
VAL-00104,SMP-00104,0.947,0.986,0.867,0.89,0.669,0.319,0.13,revise,Answer is supported by retrieved context.,0
VAL-00105,SMP-00105,0.338,0.259,0.921,0.415,0.814,0.091,0.598,revise,Validator detected outdated information; answer needs evidence-grounded revision.,3
VAL-00106,SMP-00106,0.86,0.794,0.833,0.871,0.69,0.143,0.081,accept,Answer is supported by retrieved context.,0
VAL-00107,SMP-00107,0.882,0.86,0.77,0.923,0.821,0.015,0.299,accept,Answer is supported by retrieved context.,1
VAL-00108,SMP-00108,0.844,0.895,0.719,0.802,0.875,0.086,0.08,accept,Answer is supported by retrieved context.,0
VAL-00109,SMP-00109,0.48,0.514,0.738,0.297,0.745,0.174,0.948,revise,Validator detected fabricated citation; answer needs evidence-grounded revision.,3
VAL-00110,SMP-00110,0.923,0.906,0.983,0.974,0.812,0.055,0.07,accept,Answer is supported by retrieved context.,0
VAL-00111,SMP-00111,0.878,0.754,0.824,0.887,0.759,0.015,0.155,accept,Answer is supported by retrieved context.,0
VAL-00112,SMP-00112,0.761,0.806,0.89,0.968,0.941,0.164,0.304,accept,Answer is supported by retrieved context.,1
VAL-00113,SMP-00113,0.563,0.544,0.704,0.198,0.807,0.148,0.792,reject,Validator detected overgeneralization; answer needs evidence-grounded revision.,2
VAL-00114,SMP-00114,0.674,0.222,0.736,0.301,0.837,0.706,0.564,revise,Validator detected contradiction; answer needs evidence-grounded revision.,1
VAL-00115,SMP-00115,0.785,0.774,0.712,0.913,0.738,0.053,0.26,accept,Answer is supported by retrieved context.,0
VAL-00116,SMP-00116,0.936,0.888,0.803,0.912,0.86,0.362,0.292,revise,Answer is supported by retrieved context.,1
VAL-00117,SMP-00117,0.308,0.53,0.825,0.54,0.732,0.154,0.914,revise,Validator detected fabricated citation; answer needs evidence-grounded revision.,1
VAL-00118,SMP-00118,0.967,0.807,0.81,0.895,0.761,0.222,0.22,revise,Answer is supported by retrieved context.,1
VAL-00119,SMP-00119,0.886,0.96,0.845,0.876,0.858,0.315,0.196,accept,Answer is supported by retrieved context.,1
VAL-00120,SMP-00120,0.945,0.905,0.841,0.749,0.627,0.328,0.31,revise,Answer is supported by retrieved context.,0
VAL-00121,SMP-00121,0.292,0.438,0.963,0.334,0.633,0.284,0.683,revise,Validator detected outdated information; answer needs evidence-grounded revision.,1
VAL-00122,SMP-00122,0.234,0.226,0.739,0.471,0.764,0.242,0.812,reject,Validator detected overgeneralization; answer needs evidence-grounded revision.,2
VAL-00123,SMP-00123,0.974,0.947,0.974,0.838,0.913,0.108,0.096,accept,Answer is supported by retrieved context.,1
VAL-00124,SMP-00124,0.405,0.684,0.846,0.43,0.955,0.335,0.792,revise,Validator detected outdated information; answer needs evidence-grounded revision.,1
VAL-00125,SMP-00125,0.322,0.342,0.863,0.567,0.859,0.089,0.86,reject,Validator detected factual error; answer needs evidence-grounded revision.,1
VAL-00126,SMP-00126,0.301,0.59,0.735,0.292,0.797,0.17,0.861,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,2
VAL-00127,SMP-00127,0.877,0.843,0.803,0.83,0.831,0.294,0.265,accept,Answer is supported by retrieved context.,0
VAL-00128,SMP-00128,0.786,0.744,0.888,0.972,0.854,0.171,0.312,accept,Answer is supported by retrieved context.,0
VAL-00129,SMP-00129,0.438,0.281,0.847,0.513,0.832,0.263,0.748,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,3
VAL-00130,SMP-00130,0.354,0.276,0.905,0.495,0.954,0.172,0.766,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,2
VAL-00131,SMP-00131,0.967,0.978,0.828,0.845,0.897,0.276,0.252,revise,Answer is supported by retrieved context.,0
VAL-00132,SMP-00132,0.927,0.925,0.727,0.735,0.819,0.203,0.357,accept,Answer is supported by retrieved context.,0
VAL-00133,SMP-00133,0.779,0.756,0.807,0.949,0.809,0.228,0.182,accept,Answer is supported by retrieved context.,1
VAL-00134,SMP-00134,0.81,0.945,0.952,0.837,0.77,0.222,0.062,accept,Answer is supported by retrieved context.,1
VAL-00135,SMP-00135,0.764,0.905,0.76,0.849,0.919,0.32,0.347,accept,Answer is supported by retrieved context.,1
VAL-00136,SMP-00136,0.822,0.82,0.884,0.855,0.949,0.017,0.042,accept,Answer is supported by retrieved context.,0
VAL-00137,SMP-00137,0.788,0.775,0.877,0.856,0.965,0.128,0.115,accept,Answer is supported by retrieved context.,0
VAL-00138,SMP-00138,0.931,0.93,0.937,0.891,0.845,0.309,0.261,accept,Answer is supported by retrieved context.,0
VAL-00139,SMP-00139,0.935,0.961,0.83,0.763,0.622,0.082,0.114,accept,Answer is supported by retrieved context.,0
VAL-00140,SMP-00140,0.9,0.848,0.946,0.729,0.765,0.238,0.039,accept,Answer is supported by retrieved context.,1
VAL-00141,SMP-00141,0.899,0.813,0.742,0.972,0.705,0.313,0.196,accept,Answer is supported by retrieved context.,0
VAL-00142,SMP-00142,0.861,0.898,0.758,0.956,0.722,0.091,0.142,revise,Answer is supported by retrieved context.,0
VAL-00143,SMP-00143,0.905,0.81,0.842,0.735,0.882,0.3,0.193,accept,Answer is supported by retrieved context.,0
VAL-00144,SMP-00144,0.868,0.842,0.752,0.925,0.704,0.249,0.128,accept,Answer is supported by retrieved context.,0
VAL-00145,SMP-00145,0.879,0.936,0.93,0.912,0.733,0.08,0.266,accept,Answer is supported by retrieved context.,1
VAL-00146,SMP-00146,0.95,0.891,0.812,0.708,0.694,0.118,0.088,revise,Answer is supported by retrieved context.,0
VAL-00147,SMP-00147,0.954,0.938,0.82,0.81,0.685,0.239,0.3,accept,Answer is supported by retrieved context.,1
VAL-00148,SMP-00148,0.452,0.431,0.827,0.191,0.789,0.113,0.823,reject,Validator detected factual error; answer needs evidence-grounded revision.,1
VAL-00149,SMP-00149,0.878,0.944,0.971,0.79,0.762,0.168,0.233,accept,Answer is supported by retrieved context.,0
VAL-00150,SMP-00150,0.922,0.743,0.769,0.706,0.774,0.1,0.278,accept,Answer is supported by retrieved context.,0
VAL-00151,SMP-00151,0.537,0.271,0.941,0.252,0.955,0.097,0.597,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,1
VAL-00152,SMP-00152,0.761,0.955,0.821,0.905,0.762,0.285,0.147,accept,Answer is supported by retrieved context.,1
VAL-00153,SMP-00153,0.707,0.24,0.824,0.605,0.869,0.195,0.91,revise,Validator detected fabricated citation; answer needs evidence-grounded revision.,3
VAL-00154,SMP-00154,0.263,0.262,0.841,0.182,0.894,0.014,0.572,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,2
VAL-00155,SMP-00155,0.98,0.943,0.934,0.705,0.737,0.174,0.142,accept,Answer is supported by retrieved context.,1
VAL-00156,SMP-00156,0.914,0.906,0.931,0.958,0.74,0.093,0.235,accept,Answer is supported by retrieved context.,0
VAL-00157,SMP-00157,0.948,0.814,0.782,0.761,0.889,0.324,0.251,accept,Answer is supported by retrieved context.,0
VAL-00158,SMP-00158,0.382,0.596,0.788,0.583,0.856,0.7,0.582,reject,Validator detected contradiction; answer needs evidence-grounded revision.,2
VAL-00159,SMP-00159,0.278,0.261,0.87,0.471,0.975,0.187,0.923,revise,Validator detected fabricated citation; answer needs evidence-grounded revision.,3
VAL-00160,SMP-00160,0.369,0.683,0.772,0.236,0.637,0.36,0.951,revise,Validator detected unsupported claim; answer needs evidence-grounded revision.,2
VAL-00161,SMP-00161,0.857,0.778,0.875,0.978,0.648,0.056,0.167,accept,Answer is supported by retrieved context.,0
VAL-00162,SMP-00162,0.291,0.484,0.807,0.284,0.9,0.261,0.927,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,2
VAL-00163,SMP-00163,0.571,0.575,0.939,0.272,0.937,0.205,0.856,reject,Validator detected overgeneralization; answer needs evidence-grounded revision.,3
VAL-00164,SMP-00164,0.779,0.869,0.745,0.743,0.856,0.094,0.062,accept,Answer is supported by retrieved context.,1
VAL-00165,SMP-00165,0.875,0.932,0.983,0.766,0.885,0.171,0.251,accept,Answer is supported by retrieved context.,0
VAL-00166,SMP-00166,0.858,0.753,0.906,0.731,0.709,0.341,0.144,revise,Answer is supported by retrieved context.,0
VAL-00167,SMP-00167,0.242,0.296,0.947,0.425,0.946,0.371,0.661,reject,Validator detected factual error; answer needs evidence-grounded revision.,2
