ACO_ID,ACO_NAME,PERF_YR,PBP_ELECTION,RISK_ARRANGEMENT,BENE_CT,MNTH_PY,BNMRK_EXPND,PERF_YR_EXPND,GROSS_SAVINGS,SHARED_SAVINGS,QUAL_SCRE,MNTH_AD_BY1,EXPND_AD_BY1,RISK_SCRE_AD_BY1,MNTH_AD_BY2,EXPND_AD_BY2,RISK_SCRE_AD_BY2,RISK_SCRE_AD_PY,MNTH_ESRD_BY1,EXPND_ESRD_BY1,RISK_SCRE_ESRD_BY1,MNTH_ESRD_BY2,EXPND_ESRD_BY2,RISK_SCRE_ESRD_BY2,RISK_SCRE_ESRD_PY,EXPND_NCH10,EXPND_NCH20,EXPND_NCH30,EXPND_NCH40,EXPND_NCH50,EXPND_NCH60,EXPND_NCH71,EXPND_NCH72,EXPND_NCH81,EXPND_NCH82
V116,"ThedaCare ACO, LLC",2021,None,Partial Risk,14880,171833,136338251.5,135468940.7,935534.0618,736772.2231,0.9438,147593,104302278.4,1.111883227,158647,117032547.4,1.155309942,1.189969241,958,5224858.42,1.066171417,1057,6649265.65,1.052057191,1.063063001,4442334.64,8025915.14,933325.93,43946491.13,5981588.32,31055484.95,36100609.97,104137.24,231858.85,4647194.51
V119,"Pioneer Valley Accountable Care, LLC",2021,Infrastructure,Partial Risk,33874,391259,377546047.5,387874714.5,-11428329.03,0,0.7354,276116,255553411.7,1.202045532,316971,312213519.1,1.208685468,1.208685468,1791,15571371.63,1.185689235,1886,16716512.44,1.197588729,1.233516391,20658439.68,24090367.04,21847.2,91202770.45,7852476.35,137794522.6,97158584.36,543193.22,387551.47,8164962.14
V120,CHESS NEXTGEN LLC,2021,Infrastructure,Full Risk,26990,310927,296158420.7,288544782,7114270.902,7024926.633,0.9788,265950,222761634.2,1.27971298,287460,254539788.6,1.269639112,1.269639112,3866,24218023.46,1.113039965,4847,32351827.06,1.131499419,1.131499419,12758473.09,16438172.25,54421.57,85991732.59,9903740.46,73392814.07,79383764.27,251469.28,1187677.72,9182516.73
V124,"Accountable Care Coalition of Southeast Texas, Inc",2021,PBP,Full Risk,9534,110268,135189488.7,125897305.7,8313712.275,8226336.28,0.9688,100271,106815529.1,1.374784211,105220,118952276.2,1.393131342,1.393131342,2249,18672425.14,1.181941412,2179,18108878.91,1.163336188,1.163336188,7635098.21,3789585.41,0,21511464.89,4599123.71,37921167.81,47081416.89,670766.68,186673.35,2502008.76
V125,"Trinity Health ACO, Inc.",2021,Infrastructure,Partial Risk,73007,847212,844001724.7,819867138.8,19937990.85,15974587.08,0.9413,681638,628590631.3,1.192422459,764963,730515660.8,1.199530806,1.199530806,5845,42822855.45,1.139374451,6253,48787494.56,1.11519885,1.139786337,34751682.54,47370586.21,2759,175806900.9,23142200.36,243922037.5,275353732,1512818.99,1004492.5,16999928.87
V133,"Henry Ford Physicians Accountable Care Organization, LLC",2021,Infrastructure,Partial Risk,22108,253002,290208810.5,270658099.9,17325065.99,13599472.84,0.7642,263010,258779435.3,1.237841803,286939,302987936.2,1.285112152,1.311214507,4808,35099982.68,1.085966441,5444,41548256.89,1.134456445,1.134456445,12716413.61,14057293.03,7332.5,75406363.06,6081140.71,89511159.01,65213532.88,244248.62,1372225.89,6048390.62
V137,"Deaconess Care Integration, LLC",2021,None,Partial Risk,14361,167626,153792595.8,152144577.7,2786326.226,2234520.347,0.9184,154406,130228931.7,1.108400024,162203,144299849.3,1.136095723,1.136095723,830,5947941.88,1.095324381,840,5979279.05,1.090843241,1.123568538,5428583.8,10438465.74,886006.59,43088191.67,4128775.1,45859815.31,38282577.57,439954.38,70479.69,3521727.88
V143,Park Nicollet Clinic,2021,None,Partial Risk,21163,245817,219667845.8,229000091.9,-8226677.75,0,0.6913,147938,130254595,1.164819281,154449,132904934.2,1.160582274,1.160582274,1262,8850542.05,0.995683481,1225,8798492.17,1.037019927,1.062068067,9020866.27,15090205.37,95860.81,45699498.58,8712441,64778941.47,79572482.45,579854.3,184990.6,5264951.08
V144,UnityPoint Accountable Care L.C.,2021,PBP,Partial Risk,101106,1173226,1003622510,1036323857,-31254650.11,0,0.9638,943257,767538072.7,1.198965893,1057329,886988359.4,1.175492107,1.176731496,6198,42457526.06,1.142391894,6454,42963510.68,1.122741711,1.127745658,25236938.07,57820286.3,9399593.14,297085385.2,31585995.98,277246498.9,303650436.9,1897118.93,1679097.4,30722505.79
V155,Physician Partners LTD.,2021,None,Partial Risk,13354,155103,126652062.8,124033584.9,2370344.077,1859364.502,0.9771,113686,85105086.01,1.127652051,138247,107766277.1,1.151542494,1.170508936,677,3837044,1.133953585,912,5542104,1.062508682,1.094383942,3551011.71,7503477.61,921558.54,41376003.64,5224303.33,29885099.73,31652537.52,68248.37,189585.01,3661759.47
V156,"Triad HealthCare Network, L.L.C.",2021,PBP,Full Risk,27128,312009,272873099.9,270160784.5,2944539.974,3094984.703,0.9925,309876,238178178.2,1.217261696,323418,260471511.9,1.248078286,1.248078286,4326,26392005.65,1.096701571,4775,31774078.79,1.100265389,1.100265389,12138715.84,12997607.14,22436.12,70510879.98,10120611.03,68933544.62,87728618.56,474029.79,405321.95,6829019.44
V204,"Atrius Health, Inc.",2021,Infrastructure,Full Risk,31664,371732,347798882.4,350084362.8,-2285480.416,0,0.8175,295336,258309961,1.121775341,332669,305700639.7,1.111995498,1.111995498,1243,10726670.7,1.094795172,1383,11262524.19,1.066618469,1.098617023,20344788.98,19603999.17,40565.34,76284215.51,9161074.14,115914738.8,103311213.1,106374.7,360134.12,4957258.9
V210,"NW Momentum Health Partners ACO, LLC",2021,Infrastructure,Partial Risk,28324,329373,277860593.9,251404498.1,26456095.72,20785146.11,0.8925,243590,197916050.8,1.084578934,272466,228455535.9,1.090606185,1.090606185,1349,9652459.26,1.133450106,1540,11836913.09,1.142025431,1.142025431,7655150.04,11177263.11,4078176.5,75651154.36,5812549.76,66178946.04,72773418.95,1104163.98,239160.72,6734514.68
V211,UT Southwestern Accountable Care Network,2021,PBP,Partial Risk,103795,1212617,1260496439,1249145779,9778191.178,8084378.06,0.9825,956203,945079918.4,1.179174404,1058936,1081867919,1.178221418,1.178221418,10392,73839267.95,1.075658388,11740,91947855.85,1.093145608,1.104786986,73038847.97,57597643.18,116912.47,214191134.3,43865970.33,354219240.7,470682590.1,4038259.04,2841568.63,28553612.55
V221,"Prospect ACO Northeast, LLC",2021,Infrastructure,Full Risk,13495,154384,164909145.6,165742233.2,-1261242.197,0,0.9675,106158,106116322.3,1.264293215,134969,145439958.4,1.257886466,1.257886466,653,5172331.73,1.132675944,842,6573833.76,1.201597308,1.201597308,10015612.64,14908979.15,55146,31798869.76,5361203.78,51617002.8,48582862.56,110725.82,167583.67,3124247.06
V224,"St. Luke's Clinic Coordinated Care, LTD",2021,PBP,Partial Risk,30314,352684,306954223.5,283367293.2,24086148.13,18965114.37,0.98,292920,231649500.9,1.168629546,318618,260009125.9,1.180116239,1.193199508,1626,9307806.77,1.104650099,1717,11112011.08,1.081111082,1.113544414,11326796.72,8997426.39,2898952.72,109297020.4,14681626.37,61805208.22,64957352.67,420942.05,361172.3,8620795.32
V225,"ProHealth Solutions, LLC",2021,Infrastructure,Partial Risk,15296,178091,154632786.1,154488283.3,-621950.2769,0,0.885,153682,126217701.4,1.120967327,165875,139454178.3,1.134696698,1.134696698,1028,7912653.05,1.099024356,896,6227368.5,1.094489772,1.127324466,5250528.62,7248146.04,2798,48057613.69,5277165.39,43709906.92,40855251.01,585121.72,133213.41,3368538.5
V227,Indiana University Health,2021,PBP,Full Risk,58527,678974,636691387.5,632993527.6,3697859.929,3693846.953,0.9275,531762,481684930.5,1.20444721,643064,584560387.7,1.199781345,1.200331696,6523,49378831.63,1.109960469,7310,55204452.4,1.112238142,1.117344534,21652688.48,52195190.71,2327464.73,170382241.2,22501418.91,183735021.1,158188052.6,1442464.37,1072650.92,19496334.53
V234,"Carilion Clinic Medicare Shared Savings Company, LLC",2021,None,Partial Risk,45723,529094,448771265.8,427142035.1,21122804,16569336.63,0.8825,435051,342045330.8,1.146094577,472774,374576967.3,1.152402582,1.152402582,3080,21026678.84,1.145739824,3412,23632893.98,1.135379181,1.135379181,20740859.39,28046527.08,626421.73,105422073.6,14969906.33,114989991.4,129391315.3,235321.51,341356.65,12378262.03
V235,"Arizona Care Network, LLC",2021,PBP,Partial Risk,34053,394864,367991864.4,369435660.7,-1291148.293,0,0.9675,310348,285589674.8,1.130934249,343042,329670168.5,1.136867568,1.136867568,2845,20495154.14,1.13383327,3250,24137715.26,1.124366591,1.124366591,11210924.49,13246919.02,17202,53781203.01,15887732.06,89542807.12,175250708,1073122.18,242865.38,9182177.5
V239,"APA ACO, Inc.",2021,AIPBP,Full Risk,27162,314750,437245958,384234980.7,49801166.88,48841361,0.8896,305462,364363921.2,1.535472758,310098,383827341.5,1.520343612,1.520343612,5760,51288705.22,1.165879369,5416,47026009.25,1.132241714,1.132241714,48272334.95,35990530.65,0,49270387.87,15398420.97,118036004.7,110683490.4,1041456.76,415096.67,5127257.64
V241,"UNC Senior Alliance, LLC",2021,None,Full Risk,30432,353123,287333195.8,282097157.7,4594691.221,4578580.909,0.9354,284743,220403928.8,1.15502748,321031,260477278.7,1.136143247,1.139180995,2781,19052662.36,1.145365819,3241,22863343.95,1.126423418,1.126423418,12201913.78,13677906.35,241237.37,71511439.5,9727126.23,72733604.62,93126037.85,328246.13,441668.09,8107977.81
V300,"UW Health ACO, Inc.",2021,None,Partial Risk,26022,303762,234520466.2,232382165.4,3489678.366,2758988.494,0.8567,246230,187290265.3,1.073624707,266486,202730611.6,1.069278812,1.069278812,1281,9757341.82,1.11899035,1332,10453873.54,1.133234371,1.135501952,6960169.34,12753456.76,443480.08,70476302.75,12043848.9,76015022.01,48184266.85,284508.15,406703.91,4814406.61
V301,"Reliant Medical Group, Inc ",2021,Infrastructure,Full Risk,11222,130169,144906042.8,128833421.9,16072620.97,15780912.56,0.8471,94327,94466350.03,1.246719681,106453,109407814,1.282155946,1.320620624,537,4865159.35,1.217503763,475,4094640.27,1.188352574,1.188352574,7402338.46,8768169.09,141930.3,24947155.61,3141862.72,45186711.09,36730602.1,60824.83,106660.86,2347166.81
V302,Mary Washington Health Alliance LLC,2021,PBP,Partial Risk,10421,121187,114605229.8,117004859.8,-2780522.509,0,0.9275,98749,86250988.37,1.13235469,107317,101872576.7,1.121833378,1.143148073,839,7295548.2,1.14828358,796,6122840.85,1.121449879,1.155093376,4813802.48,5525732.59,0,19674575.59,3057843.43,33892743.35,47159986.97,277587.39,46211.07,2556376.95
V303,"Reliance Next Gen ACO, LLC",2021,None,Full Risk,10862,123608,131914894.4,127178281.2,4721384.397,4660053.301,0.98,130636,130457266.2,1.389570571,136903,141382941.2,1.372961369,1.372961369,1441,13056823.72,1.204745341,1594,12817731.1,1.255485223,1.255485223,5762548.39,6547873.42,36101,24653252.13,3051933.28,41388401.02,42092337.33,378949.31,167166.44,3099718.84
V304,Primary Care Alliance,2021,AIPBP,Full Risk,13647,158238,168082649.7,149162112.8,18491950.38,18158504.17,0.9171,139282,131294973.1,1.402585483,154904,142744356.9,1.467030689,1.51104161,784,5382845.48,1.248348228,804,5502534.18,1.213267139,1.222973734,6440874.59,8304198.67,17561.4,21407275.96,4508649.46,35232136.88,69194292.75,372088.8,79425.75,3605608.52
V307,Revere Health,2021,None,Partial Risk,15343,178949,168600494.5,161429163.6,7055164.811,5533774.087,0.9375,157206,132320398.7,1.189642545,169011,154719856.2,1.24512123,1.24512123,1093,6894497.61,1.018098392,1195,7738148.09,1.117458249,1.117458249,9048439.58,7971207.9,1645528,31354879.83,9219667.59,36870421.92,59181112.49,290695.92,113350.55,5733859.81
V309,"Franciscan Missionaries of Our Lady Health System Clinical Network, LLC",2021,Infrastructure,Full Risk,23479,270764,246565570.8,244061117.7,2504453.083,2442272.555,0.9567,251701,209490042.1,1.24034478,266659,232324692.8,1.239754062,1.247758675,2958,20353431.7,1.115821826,3298,22520348.62,1.158060267,1.158060267,14864777.96,11887776,1272612.02,48967578.47,11600518.73,66874983.18,81700815.8,491247.95,387272.78,6013534.83
V310,CareMount ACO,2021,PBP,Full Risk,28307,330647,351762373.7,337869696.3,10666871.83,10513934.78,0.8425,297423,289140756,1.140169725,315680,308785427.9,1.155953082,1.190631674,1300,11540076.16,1.164042783,1316,11886908.11,1.181625745,1.215848039,9489775.65,28407562.34,92437.51,62929445.32,8078608.97,98627842.11,125214454.9,404634.51,203249.52,4421685.46
V315,"Primaria ACO, LLC",2021,PBP,Full Risk,25248,291400,274159043.3,274573564.1,-414520.8188,0,0.8813,260526,229199569,1.25038426,293054,268917094.4,1.288631124,1.288631124,3161,23203716.43,1.131017755,3248,24892707.24,1.168230456,1.1697494,11371161.28,18663908.7,133558,69828702.25,7675720.48,82513428.49,75177803.31,314387.15,226776.98,8668117.46
V321,Best Care Collaborative,2021,Infrastructure,Partial Risk,18931,218678,215488084.7,213196887.4,1610940.033,1268851.011,0.945,135558,125726628.1,1.194661321,154337,144815675.8,1.201415155,1.237457609,1013,6807977.87,1.086831567,1267,8675553.93,1.067119166,1.099132741,9988335.43,10953496.74,55264.5,36491197.04,7621296.93,49192616,93260907.42,350065.31,331824.01,4951884.01
V323,"Accountable Care Coalition of Tennessee, LLC",2021,PBP,Full Risk,30051,351016,289081989,277848564,11775464.74,11584147.92,0.9775,287555,208088116.1,1.196177505,311308,238308041.7,1.215330188,1.251207094,1527,9485469.69,1.095070233,1625,9690833.52,1.114113053,1.114113053,13397469.56,11784547.98,1603.48,55145334.7,9804739.79,58721565.32,118853751.7,402548.1,262159.62,9474843.8
V324,"Torrance Memorial Integrated Physicians, LLC",2021,None,Partial Risk,11825,138456,158994828.9,151654249.8,6741015.303,5280238.189,0.9275,125925,128340944.9,1.200208822,125166,130004342.5,1.201413976,1.201413976,1845,14050092.23,1.171124246,1687,14738151.1,1.155812249,1.155812249,9970992.67,9504559.66,0,27100664.99,5537475.93,38648323.21,55470664.85,3401390.01,93028.4,1927150.12
V325,"NEQCA Accountable Care, Inc",2021,PBP,Partial Risk,29723,347493,400974641.6,386638437.2,11999400.5,9491170.149,0.9388,245234,274318807.7,1.236114804,275100,317935413.6,1.260689834,1.260689834,1472,12199376.27,1.080457378,1534,16013487.28,1.112904871,1.146292017,22155899.99,28688827.31,3400.75,84730068.03,10936881.17,135359527.6,98313894.7,237483.37,315522.42,5896931.82
